START,ELAPSED_MINUTES,FASE,FILTERED_TEMP,T_INI,T_FIN,VELOCITA,SOSTA_MIN
1,0,0,650,0,0,0,0
1,0,0,650,0,0,0,0
1,0,0,651,0,0,0,0
1,0,0,650,0,0,0,0
1,1,0,651,0,0,0,0
1,1,0,651,0,0,0,0
1,1,0,650,0,0,0,0
1,1,0,651,0,0,0,0
1,2,0,651,0,0,0,0
1,2,0,650,0,0,0,0
1,2,0,650,0,0,0,0
1,3,0,651,0,0,0,0
1,3,0,650,0,0,0,0
1,3,0,650,0,0,0,0
1,4,0,651,0,0,0,0
1,4,0,650,0,0,0,0
1,4,1,650,650,800,23,10
1,4,1,650,650,800,23,10
1,5,1,650,650,800,23,10
1,5,1,651,650,800,23,10
1,5,1,663,650,800,23,10
1,6,1,676,650,800,23,10
1,6,1,687,650,800,23,10
1,6,1,701,650,800,23,10
1,7,1,718,650,800,23,10
1,7,1,710,650,800,23,10
1,7,1,719,650,800,23,10
1,8,1,739,650,800,23,10
1,8,1,745,650,800,23,10
1,8,1,738,650,800,23,10
1,9,1,754,650,800,23,10
1,9,1,767,650,800,23,10
1,9,1,753,650,800,23,10
1,10,1,771,650,800,23,10
1,10,1,783,650,800,23,10
1,10,1,792,650,800,23,10
1,10,1,783,650,800,23,10
1,11,1,804,650,800,23,10
1,11,1,792,650,800,23,10
1,11,1,806,650,800,23,10
1,11,1,800,650,800,23,10
1,12,1,788,650,800,23,10
1,12,1,806,650,800,23,10
1,12,1,799,650,800,23,10
1,13,1,789,650,800,23,10
1,13,1,804,650,800,23,10
1,13,1,799,650,800,23,10
1,14,1,804,650,800,23,10
1,14,1,794,650,800,23,10
1,14,1,794,650,800,23,10
1,14,1,797,650,800,23,10
1,15,1,806,650,800,23,10
1,15,1,797,650,800,23,10
1,15,1,796,650,800,23,10
1,16,1,792,650,800,23,10
1,16,1,805,650,800,23,10
1,16,1,799,650,800,23,10
1,17,1,806,650,800,23,10
1,17,1,798,650,800,23,10
1,17,1,790,650,800,23,10
1,18,1,796,650,800,23,10
1,18,1,794,650,800,23,10
1,18,1,802,650,800,23,10
1,19,1,804,650,800,23,10
1,19,1,801,650,800,23,10
1,19,1,790,650,800,23,10
1,19,1,792,650,800,23,10
1,20,1,800,650,800,23,10
1,20,1,807,650,800,23,10
1,20,1,794,650,800,23,10
1,21,2,807,800,1000,17,0
1,21,2,795,800,1000,17,0
1,21,2,808,800,1000,17,0
1,22,2,817,800,1000,17,0
1,22,2,807,800,1000,17,0
1,22,2,835,800,1000,17,0
1,23,2,835,800,1000,17,0
1,23,2,840,800,1000,17,0
1,24,2,849,800,1000,17,0
1,24,2,841,800,1000,17,0
1,24,2,841,800,1000,17,0
1,68,4,1230,1200,1300,5,0
1,68,4,1215,1200,1300,5,0
1,69,4,1229,1200,1300,5,0
1,69,4,1227,1200,1300,5,0
1,69,4,1226,1200,1300,5,0
1,70,4,1233,1200,1300,5,0
1,70,4,1225,1200,1300,5,0
1,70,4,1241,1200,1300,5,0
1,70,4,1230,1200,1300,5,0
1,71,4,1246,1200,1300,5,0
1,71,4,1244,1200,1300,5,0
1,71,4,1232,1200,1300,5,0
1,72,4,1248,1200,1300,5,0
1,72,4,1241,1200,1300,5,0
1,72,4,1245,1200,1300,5,0
1,73,4,1251,1200,1300,5,0
1,73,4,1243,1200,1300,5,0
1,73,4,1254,1200,1300,5,0
1,74,4,1250,1200,1300,5,0
1,74,4,1256,1200,1300,5,0
1,74,4,1254,1200,1300,5,0
1,75,4,1262,1200,1300,5,0
1,75,4,1250,1200,1300,5,0
1,75,4,1261,1200,1300,5,0
1,76,4,1258,1200,1300,5,0
1,76,4,1269,1200,1300,5,0
1,76,4,1266,1200,1300,5,0
1,76,4,1260,1200,1300,5,0
1,77,4,1275,1200,1300,5,0
1,77,4,1262,1200,1300,5,0
1,78,4,1270,1200,1300,5,0
1,78,4,1278,1200,1300,5,0
1,78,4,1271,1200,1300,5,0
