START,ELAPSED_MINUTES,FASE,FILTERED_TEMP,T_INI,T_FIN,VELOCITA,SOSTA_MIN
1,35,1,798,650,800,23,10
1,35,1,802,650,800,23,10
1,35,1,806,650,800,23,10
1,35,1,801,650,800,23,10
1,35,1,797,650,800,23,10
1,36,1,794,650,800,23,10
1,36,1,797,650,800,23,10
1,36,1,803,650,800,23,10
1,37,1,805,650,800,23,10
1,37,1,800,650,800,23,10
1,37,1,796,650,800,23,10
1,38,1,794,650,800,23,10
1,38,1,798,650,800,23,10
1,38,1,805,650,800,23,10
1,39,1,802,650,800,23,10
1,39,1,798,650,800,23,10
1,39,1,794,650,800,23,10
1,40,2,799,800,1000,17,0
1,40,2,806,800,1000,17,0
1,40,2,803,800,1000,17,0
1,41,2,803,800,1000,17,0
1,41,2,809,800,1000,17,0
1,41,2,813,800,1000,17,0
1,41,2,821,800,1000,17,0
1,42,2,827,800,1000,17,0
1,42,2,833,800,1000,17,0
1,42,2,839,800,1000,17,0
1,43,2,847,800,1000,17,0
1,43,2,851,800,1000,17,0
1,43,2,855,800,1000,17,0
1,44,2,864,800,1000,17,0
1,44,2,869,800,1000,17,0
1,44,2,873,800,1000,17,0
1,45,2,878,800,1000,17,0
1,45,2,882,800,1000,17,0
1,45,2,885,800,1000,17,0
1,46,2,890,800,1000,17,0
1,46,2,897,800,1000,17,0
1,46,2,901,800,1000,17,0
1,47,2,906,800,1000,17,0
1,47,2,913,800,1000,17,0
1,47,2,917,800,1000,17,0
1,48,2,920,800,1000,17,0
1,48,2,925,800,1000,17,0
1,48,2,929,800,1000,17,0
1,48,2,933,800,1000,17,0
1,49,2,937,800,1000,17,0
1,49,2,943,800,1000,17,0
1,49,2,947,800,1000,17,0
1,50,2,951,800,1000,17,0
1,50,2,955,800,1000,17,0
1,50,2,959,800,1000,17,0
1,51,2,962,800,1000,17,0
1,51,2,966,800,1000,17,0
1,51,2,972,800,1000,17,0
1,52,2,976,800,1000,17,0
1,52,2,979,800,1000,17,0
1,52,2,983,800,1000,17,0
1,53,2,986,800,1000,17,0
1,53,2,989,800,1000,17,0
1,53,2,992,800,1000,17,0
1,54,2,997,800,1000,17,0
1,54,2,1000,800,1000,17,0
1,54,3,1003,1000,1200,10,10
1,54,3,1007,1000,1200,10,10
1,55,3,1011,1000,1200,10,10
1,55,3,1014,1000,1200,10,10
1,55,3,1011,1000,1200,10,10
1,56,3,1013,1000,1200,10,10
1,56,3,1017,1000,1200,10,10
1,56,3,1020,1000,1200,10,10
1,57,3,1025,1000,1200,10,10
1,57,3,1027,1000,1200,10,10
1,57,3,1030,1000,1200,10,10
1,58,3,1034,1000,1200,10,10
1,58,3,1037,1000,1200,10,10
1,58,3,1040,1000,1200,10,10
1,58,3,1044,1000,1200,10,10
1,59,3,1049,1000,1200,10,10
1,59,3,1051,1000,1200,10,10
1,60,3,1054,1000,1200,10,10
1,60,3,1058,1000,1200,10,10
1,60,3,1061,1000,1200,10,10
1,60,3,1063,1000,1200,10,10
1,61,3,1065,1000,1200,10,10
1,61,3,1068,1000,1200,10,10
1,61,3,1070,1000,1200,10,10
1,62,3,1073,1000,1200,10,10
1,62,3,1077,1000,1200,10,10
1,62,3,1080,1000,1200,10,10
1,63,3,1083,1000,1200,10,10
1,63,3,1086,1000,1200,10,10
1,63,3,1090,1000,1200,10,10
1,64,3,1092,1000,1200,10,10
1,64,3,1095,1000,1200,10,10
1,64,3,1097,1000,1200,10,10
1,65,3,1099,1000,1200,10,10
1,65,3,1101,1000,1200,10,10
1,65,3,1104,1000,1200,10,10
1,66,3,1108,1000,1200,10,10
1,66,3,1110,1000,1200,10,10
1,66,3,1112,1000,1200,10,10
1,67,3,1117,1000,1200,10,10
1,67,3,1119,1000,1200,10,10
1,67,3,1121,1000,1200,10,10
1,68,3,1124,1000,1200,10,10
1,68,3,1126,1000,1200,10,10
1,68,3,1128,1000,1200,10,10
1,69,3,1131,1000,1200,10,10
1,69,3,1134,1000,1200,10,10
1,69,3,1135,1000,1200,10,10
1,70,3,1136,1000,1200,10,10
1,70,3,1139,1000,1200,10,10
1,70,3,1141,1000,1200,10,10
1,70,3,1143,1000,1200,10,10
1,71,3,1145,1000,1200,10,10
1,71,3,1148,1000,1200,10,10
1,72,3,1151,1000,1200,10,10
